id_date,date,jour,mois,annee
267,2021-03-28,28,3,2021
268,2021-03-29,29,3,2021
269,2021-03-30,30,3,2021
270,2021-03-31,31,3,2021
271,2021-04-01,1,4,2021
272,2021-04-02,2,4,2021
273,2021-04-03,3,4,2021
274,2021-04-04,4,4,2021
275,2021-04-05,5,4,2021
276,2021-04-06,6,4,2021
277,2021-04-07,7,4,2021
278,2021-04-08,8,4,2021
279,2021-04-09,9,4,2021
280,2021-04-10,10,4,2021
281,2021-04-11,11,4,2021
282,2021-04-12,12,4,2021
283,2021-04-13,13,4,2021
284,2021-04-14,14,4,2021
285,2021-04-15,15,4,2021
286,2021-04-16,16,4,2021
287,2021-04-17,17,4,2021
288,2021-04-18,18,4,2021
289,2021-04-19,19,4,2021
290,2021-04-20,20,4,2021
291,2021-04-21,21,4,2021
292,2021-04-22,22,4,2021
293,2021-04-23,23,4,2021
294,2021-04-24,24,4,2021
295,2021-04-25,25,4,2021
296,2021-04-26,26,4,2021
297,2021-04-27,27,4,2021
298,2021-04-28,28,4,2021
299,2021-04-29,29,4,2021
300,2021-04-30,30,4,2021
301,2021-05-01,1,5,2021
302,2021-05-02,2,5,2021
303,2021-05-03,3,5,2021
304,2021-05-04,4,5,2021
305,2021-05-05,5,5,2021
306,2021-05-06,6,5,2021
307,2021-05-07,7,5,2021
308,2021-05-08,8,5,2021
309,2021-05-09,9,5,2021
310,2021-05-10,10,5,2021
311,2021-05-11,11,5,2021
312,2021-05-12,12,5,2021
313,2021-05-13,13,5,2021
314,2021-05-14,14,5,2021
315,2021-05-15,15,5,2021
316,2021-05-16,16,5,2021
317,2021-05-17,17,5,2021
318,2021-05-18,18,5,2021
319,2021-05-19,19,5,2021
320,2021-05-20,20,5,2021
321,2021-05-21,21,5,2021
322,2021-05-22,22,5,2021
323,2021-05-23,23,5,2021
324,2021-05-24,24,5,2021
325,2021-05-25,25,5,2021
326,2021-05-26,26,5,2021
327,2021-05-27,27,5,2021
328,2021-05-28,28,5,2021
329,2021-05-29,29,5,2021
330,2021-05-30,30,5,2021
331,2021-05-31,31,5,2021
332,2021-06-01,1,6,2021
333,2021-06-02,2,6,2021
334,2021-06-03,3,6,2021
335,2021-06-04,4,6,2021
336,2021-06-05,5,6,2021
337,2021-06-06,6,6,2021
338,2021-06-07,7,6,2021
339,2021-06-08,8,6,2021
340,2021-06-09,9,6,2021
341,2021-06-10,10,6,2021
342,2021-06-11,11,6,2021
343,2021-06-12,12,6,2021
344,2021-06-13,13,6,2021
345,2021-06-14,14,6,2021
346,2021-06-15,15,6,2021
347,2021-06-16,16,6,2021
348,2021-06-17,17,6,2021
349,2021-06-18,18,6,2021
350,2021-06-19,19,6,2021
351,2021-06-20,20,6,2021
352,2021-06-21,21,6,2021
353,2021-06-22,22,6,2021
354,2021-06-23,23,6,2021
355,2021-06-24,24,6,2021
356,2021-06-25,25,6,2021
357,2021-06-26,26,6,2021
358,2021-06-27,27,6,2021
359,2021-06-28,28,6,2021
360,2021-06-29,29,6,2021
361,2021-06-30,30,6,2021
362,2021-07-01,1,7,2021
363,2021-07-02,2,7,2021
364,2021-07-03,3,7,2021
365,2021-07-04,4,7,2021
366,2021-07-05,5,7,2021
367,2021-07-06,6,7,2021
368,2021-07-07,7,7,2021
369,2021-07-08,8,7,2021
370,2021-07-09,9,7,2021
371,2021-07-10,10,7,2021
372,2021-07-11,11,7,2021
373,2021-07-12,12,7,2021
374,2021-07-13,13,7,2021
375,2021-07-14,14,7,2021
376,2021-07-15,15,7,2021
377,2021-07-16,16,7,2021
378,2021-07-17,17,7,2021
379,2021-07-18,18,7,2021
380,2021-07-19,19,7,2021
381,2021-07-20,20,7,2021
382,2021-07-21,21,7,2021
383,2021-07-22,22,7,2021
384,2021-07-23,23,7,2021
385,2021-07-24,24,7,2021
386,2021-07-25,25,7,2021
387,2021-07-26,26,7,2021
388,2021-07-27,27,7,2021
389,2021-07-28,28,7,2021
390,2021-07-29,29,7,2021
391,2021-07-30,30,7,2021
392,2021-07-31,31,7,2021
393,2021-08-01,1,8,2021
394,2021-08-02,2,8,2021
395,2021-08-03,3,8,2021
396,2021-08-04,4,8,2021
397,2021-08-05,5,8,2021
398,2021-08-06,6,8,2021
399,2021-08-07,7,8,2021
400,2021-08-08,8,8,2021
401,2021-08-09,9,8,2021
402,2021-08-10,10,8,2021
403,2021-08-11,11,8,2021
404,2021-08-12,12,8,2021
405,2021-08-13,13,8,2021
406,2021-08-14,14,8,2021
407,2021-08-15,15,8,2021
408,2021-08-16,16,8,2021
409,2021-08-17,17,8,2021
410,2021-08-18,18,8,2021
411,2021-08-19,19,8,2021
412,2021-08-20,20,8,2021
413,2021-08-21,21,8,2021
414,2021-08-22,22,8,2021
415,2021-08-23,23,8,2021
416,2021-08-24,24,8,2021
417,2021-08-25,25,8,2021
418,2021-08-26,26,8,2021
419,2021-08-27,27,8,2021
420,2021-08-28,28,8,2021
