date,jour,mois,annee,ville,temp,is_rainy
2020-12-21,21,12,2020,Antananarivo,20.7,1
2020-12-22,22,12,2020,Antananarivo,20.7,1
2020-12-23,23,12,2020,Antananarivo,21.0,0
2020-12-24,24,12,2020,Antananarivo,21.6,0
2020-12-25,25,12,2020,Antananarivo,22.1,0
2020-12-26,26,12,2020,Antananarivo,20.9,1
2020-12-27,27,12,2020,Antananarivo,19.5,1
2020-12-28,28,12,2020,Antananarivo,20.3,1
2020-12-29,29,12,2020,Antananarivo,20.0,1
2020-12-30,30,12,2020,Antananarivo,20.2,1
2020-12-31,31,12,2020,Antananarivo,19.4,0
2021-01-01,1,1,2021,Antananarivo,19.8,1
2021-01-02,2,1,2021,Antananarivo,20.5,0
2021-01-03,3,1,2021,Antananarivo,20.3,1
2021-01-04,4,1,2021,Antananarivo,20.6,0
2021-01-05,5,1,2021,Antananarivo,20.9,1
2021-01-06,6,1,2021,Antananarivo,21.7,0
2021-01-07,7,1,2021,Antananarivo,22.1,1
2021-01-08,8,1,2021,Antananarivo,22.5,1
2021-01-09,9,1,2021,Antananarivo,21.0,1
2021-01-10,10,1,2021,Antananarivo,21.4,1
2021-01-11,11,1,2021,Antananarivo,22.2,1
2021-01-12,12,1,2021,Antananarivo,22.6,1
2021-01-13,13,1,2021,Antananarivo,22.5,1
2021-01-14,14,1,2021,Antananarivo,22.0,1
2021-01-15,15,1,2021,Antananarivo,21.8,1
2021-01-16,16,1,2021,Antananarivo,22.4,1
2021-01-17,17,1,2021,Antananarivo,23.4,1
2021-01-18,18,1,2021,Antananarivo,23.5,1
2021-01-19,19,1,2021,Antananarivo,22.1,1
2021-01-20,20,1,2021,Antananarivo,21.5,1
2021-01-21,21,1,2021,Antananarivo,22.1,1
2021-01-22,22,1,2021,Antananarivo,21.9,1
2021-01-23,23,1,2021,Antananarivo,22.0,1
2021-01-24,24,1,2021,Antananarivo,21.1,1
2021-01-25,25,1,2021,Antananarivo,20.6,1
2021-01-26,26,1,2021,Antananarivo,20.9,1
2021-01-27,27,1,2021,Antananarivo,21.0,1
2021-01-28,28,1,2021,Antananarivo,20.9,1
2021-01-29,29,1,2021,Antananarivo,20.3,1
2021-01-30,30,1,2021,Antananarivo,19.9,1
2021-01-31,31,1,2021,Antananarivo,21.0,1
2021-02-01,1,2,2021,Antananarivo,21.9,0
2021-02-02,2,2,2021,Antananarivo,22.1,0
2021-02-03,3,2,2021,Antananarivo,20.5,1
2021-02-04,4,2,2021,Antananarivo,20.9,1
2021-02-05,5,2,2021,Antananarivo,21.1,1
2021-02-06,6,2,2021,Antananarivo,20.9,1
2021-02-07,7,2,2021,Antananarivo,20.2,1
2021-02-08,8,2,2021,Antananarivo,20.5,1
2021-02-09,9,2,2021,Antananarivo,20.1,1
2021-02-10,10,2,2021,Antananarivo,19.6,1
2021-02-11,11,2,2021,Antananarivo,19.5,1
2021-02-12,12,2,2021,Antananarivo,20.0,1
2021-02-13,13,2,2021,Antananarivo,19.2,1
2021-02-14,14,2,2021,Antananarivo,18.2,1
2021-02-15,15,2,2021,Antananarivo,18.6,1
2021-02-16,16,2,2021,Antananarivo,19.8,1
2021-02-17,17,2,2021,Antananarivo,21.0,1
2021-02-18,18,2,2021,Antananarivo,22.1,1
2021-02-19,19,2,2021,Antananarivo,21.9,1
2021-02-20,20,2,2021,Antananarivo,22.3,1
2021-02-21,21,2,2021,Antananarivo,21.4,1
2021-02-22,22,2,2021,Antananarivo,20.4,1
2021-02-23,23,2,2021,Antananarivo,19.8,1
2021-02-24,24,2,2021,Antananarivo,19.7,1
2021-02-25,25,2,2021,Antananarivo,20.0,1
2021-02-26,26,2,2021,Antananarivo,20.4,1
2021-02-27,27,2,2021,Antananarivo,20.8,1
2021-02-28,28,2,2021,Antananarivo,20.7,1
2021-03-01,1,3,2021,Antananarivo,21.1,1
2021-03-02,2,3,2021,Antananarivo,20.6,1
2021-03-03,3,3,2021,Antananarivo,20.7,1
2021-03-04,4,3,2021,Antananarivo,20.0,1
2021-03-05,5,3,2021,Antananarivo,19.7,1
2021-03-06,6,3,2021,Antananarivo,20.5,1
2021-03-07,7,3,2021,Antananarivo,20.3,1
2021-03-08,8,3,2021,Antananarivo,20.3,1
2021-03-09,9,3,2021,Antananarivo,20.3,1
2021-03-10,10,3,2021,Antananarivo,20.4,1
2021-03-11,11,3,2021,Antananarivo,20.1,1
2021-03-12,12,3,2021,Antananarivo,20.0,1
2021-03-13,13,3,2021,Antananarivo,18.7,0
2021-03-14,14,3,2021,Antananarivo,18.7,1
2021-03-15,15,3,2021,Antananarivo,19.5,1
2021-03-16,16,3,2021,Antananarivo,19.5,1
2021-03-17,17,3,2021,Antananarivo,19.6,1
2021-03-18,18,3,2021,Antananarivo,19.8,1
2021-03-19,19,3,2021,Antananarivo,19.9,1
2021-03-20,20,3,2021,Antananarivo,19.2,1
2021-03-21,21,3,2021,Antananarivo,19.1,1
2021-03-22,22,3,2021,Antananarivo,19.8,1
2021-03-23,23,3,2021,Antananarivo,20.2,1
2021-03-24,24,3,2021,Antananarivo,19.8,1
2021-03-25,25,3,2021,Antananarivo,20.2,1
2021-03-26,26,3,2021,Antananarivo,20.8,1
2021-03-27,27,3,2021,Antananarivo,20.6,1
2021-03-28,28,3,2021,Antananarivo,19.8,1
2021-03-29,29,3,2021,Antananarivo,19.8,1
2021-03-30,30,3,2021,Antananarivo,19.7,1
2021-03-31,31,3,2021,Antananarivo,19.9,1
2021-04-01,1,4,2021,Antananarivo,19.7,1
2021-04-02,2,4,2021,Antananarivo,19.1,1
2021-04-03,3,4,2021,Antananarivo,18.7,1
2021-04-04,4,4,2021,Antananarivo,19.7,1
2021-04-05,5,4,2021,Antananarivo,20.1,1
2021-04-06,6,4,2021,Antananarivo,19.8,1
2021-04-07,7,4,2021,Antananarivo,19.4,1
2021-04-08,8,4,2021,Antananarivo,19.4,0
2021-04-09,9,4,2021,Antananarivo,19.3,0
2021-04-10,10,4,2021,Antananarivo,19.3,1
2021-04-11,11,4,2021,Antananarivo,18.9,1
2021-04-12,12,4,2021,Antananarivo,19.2,0
2021-04-13,13,4,2021,Antananarivo,19.3,1
2021-04-14,14,4,2021,Antananarivo,19.3,1
2021-04-15,15,4,2021,Antananarivo,19.4,1
2021-04-16,16,4,2021,Antananarivo,19.3,1
2021-04-17,17,4,2021,Antananarivo,18.6,1
2021-04-18,18,4,2021,Antananarivo,16.4,1
2021-04-19,19,4,2021,Antananarivo,16.7,1
2021-04-20,20,4,2021,Antananarivo,17.6,1
2021-04-21,21,4,2021,Antananarivo,18.0,1
2021-04-22,22,4,2021,Antananarivo,18.3,1
2021-04-23,23,4,2021,Antananarivo,18.3,1
2021-04-24,24,4,2021,Antananarivo,18.0,0
2021-04-25,25,4,2021,Antananarivo,18.5,1
2021-04-26,26,4,2021,Antananarivo,18.8,1
2021-04-27,27,4,2021,Antananarivo,18.4,1
2021-04-28,28,4,2021,Antananarivo,18.9,1
2021-04-29,29,4,2021,Antananarivo,18.6,1
2021-04-30,30,4,2021,Antananarivo,18.8,1
2021-05-01,1,5,2021,Antananarivo,19.2,1
2021-05-02,2,5,2021,Antananarivo,19.0,1
2021-05-03,3,5,2021,Antananarivo,18.7,1
2021-05-04,4,5,2021,Antananarivo,18.1,1
2021-05-05,5,5,2021,Antananarivo,17.7,1
2021-05-06,6,5,2021,Antananarivo,18.5,0
2021-05-07,7,5,2021,Antananarivo,18.8,0
2021-05-08,8,5,2021,Antananarivo,18.0,1
2021-05-09,9,5,2021,Antananarivo,17.9,1
2021-05-10,10,5,2021,Antananarivo,17.9,1
2021-05-11,11,5,2021,Antananarivo,16.9,1
2021-05-12,12,5,2021,Antananarivo,17.2,1
2021-05-13,13,5,2021,Antananarivo,17.0,1
2021-05-14,14,5,2021,Antananarivo,17.1,1
2021-05-15,15,5,2021,Antananarivo,17.1,0
2021-05-16,16,5,2021,Antananarivo,16.4,0
2021-05-17,17,5,2021,Antananarivo,16.6,0
2021-05-18,18,5,2021,Antananarivo,16.5,0
2021-05-19,19,5,2021,Antananarivo,15.8,1
2021-05-20,20,5,2021,Antananarivo,15.1,1
2021-05-21,21,5,2021,Antananarivo,13.1,0
2021-05-22,22,5,2021,Antananarivo,14.3,0
2021-05-23,23,5,2021,Antananarivo,15.5,0
2021-05-24,24,5,2021,Antananarivo,15.8,1
2021-05-25,25,5,2021,Antananarivo,15.7,1
2021-05-26,26,5,2021,Antananarivo,15.8,0
2021-05-27,27,5,2021,Antananarivo,15.8,0
2021-05-28,28,5,2021,Antananarivo,15.4,0
2021-05-29,29,5,2021,Antananarivo,15.3,0
2021-05-30,30,5,2021,Antananarivo,16.6,0
2021-05-31,31,5,2021,Antananarivo,17.6,1
2021-06-01,1,6,2021,Antananarivo,17.3,1
2021-06-02,2,6,2021,Antananarivo,16.2,0
2021-06-03,3,6,2021,Antananarivo,16.1,0
2021-06-04,4,6,2021,Antananarivo,17.2,0
2021-06-05,5,6,2021,Antananarivo,16.3,0
2021-06-06,6,6,2021,Antananarivo,15.2,1
2021-06-07,7,6,2021,Antananarivo,13.6,0
2021-06-08,8,6,2021,Antananarivo,13.2,0
2021-06-09,9,6,2021,Antananarivo,13.0,0
2021-06-10,10,6,2021,Antananarivo,13.8,0
2021-06-11,11,6,2021,Antananarivo,13.9,0
2021-06-12,12,6,2021,Antananarivo,15.5,1
2021-06-13,13,6,2021,Antananarivo,16.0,1
2021-06-14,14,6,2021,Antananarivo,15.3,1
2021-06-15,15,6,2021,Antananarivo,14.6,0
2021-06-16,16,6,2021,Antananarivo,14.3,0
2021-06-17,17,6,2021,Antananarivo,13.1,0
2021-06-18,18,6,2021,Antananarivo,13.7,0
2021-06-19,19,6,2021,Antananarivo,14.2,0
2021-06-20,20,6,2021,Antananarivo,13.7,1
2021-06-21,21,6,2021,Antananarivo,13.2,1
2021-06-22,22,6,2021,Antananarivo,12.7,0
2021-06-23,23,6,2021,Antananarivo,12.5,0
2021-06-24,24,6,2021,Antananarivo,13.0,0
2021-06-25,25,6,2021,Antananarivo,13.7,0
2021-06-26,26,6,2021,Antananarivo,14.0,0
2021-06-27,27,6,2021,Antananarivo,14.1,0
2021-06-28,28,6,2021,Antananarivo,13.8,0
2021-06-29,29,6,2021,Antananarivo,14.7,0
2021-06-30,30,6,2021,Antananarivo,14.2,0
2021-07-01,1,7,2021,Antananarivo,13.9,0
2021-07-02,2,7,2021,Antananarivo,15.0,0
2021-07-03,3,7,2021,Antananarivo,14.7,0
2021-07-04,4,7,2021,Antananarivo,14.1,0
2021-07-05,5,7,2021,Antananarivo,13.8,0
2021-07-06,6,7,2021,Antananarivo,14.3,1
2021-07-07,7,7,2021,Antananarivo,14.5,1
2021-07-08,8,7,2021,Antananarivo,14.2,0
2021-07-09,9,7,2021,Antananarivo,15.0,1
2021-07-10,10,7,2021,Antananarivo,15.6,0
2021-07-11,11,7,2021,Antananarivo,14.4,0
2021-07-12,12,7,2021,Antananarivo,14.7,1
2021-07-13,13,7,2021,Antananarivo,13.8,0
2021-07-14,14,7,2021,Antananarivo,13.5,0
2021-07-15,15,7,2021,Antananarivo,14.1,1
2021-07-16,16,7,2021,Antananarivo,13.7,0
2021-07-17,17,7,2021,Antananarivo,14.3,0
2021-07-18,18,7,2021,Antananarivo,14.8,0
2021-07-19,19,7,2021,Antananarivo,14.9,0
2021-07-20,20,7,2021,Antananarivo,15.1,1
2021-07-21,21,7,2021,Antananarivo,15.1,0
2021-07-22,22,7,2021,Antananarivo,13.4,0
2021-07-23,23,7,2021,Antananarivo,13.7,0
2021-07-24,24,7,2021,Antananarivo,13.6,0
2021-07-25,25,7,2021,Antananarivo,13.8,1
2021-07-26,26,7,2021,Antananarivo,12.9,0
2021-07-27,27,7,2021,Antananarivo,13.3,1
2021-07-28,28,7,2021,Antananarivo,12.7,0
2021-07-29,29,7,2021,Antananarivo,14.2,1
2021-07-30,30,7,2021,Antananarivo,15.1,1
2021-07-31,31,7,2021,Antananarivo,13.6,0
2021-08-01,1,8,2021,Antananarivo,12.9,1
2021-08-02,2,8,2021,Antananarivo,14.8,0
2021-08-03,3,8,2021,Antananarivo,14.7,0
2021-08-04,4,8,2021,Antananarivo,14.6,1
2021-08-05,5,8,2021,Antananarivo,13.9,0
2021-08-06,6,8,2021,Antananarivo,13.6,0
2021-08-07,7,8,2021,Antananarivo,14.9,0
2021-08-08,8,8,2021,Antananarivo,15.2,0
2021-08-09,9,8,2021,Antananarivo,15.2,0
2021-08-10,10,8,2021,Antananarivo,15.3,0
2021-08-11,11,8,2021,Antananarivo,15.0,0
2021-08-12,12,8,2021,Antananarivo,15.3,0
2021-08-13,13,8,2021,Antananarivo,17.2,0
2021-08-14,14,8,2021,Antananarivo,16.0,0
2021-08-15,15,8,2021,Antananarivo,14.0,0
2021-08-16,16,8,2021,Antananarivo,12.9,0
2021-08-17,17,8,2021,Antananarivo,13.5,0
2021-08-18,18,8,2021,Antananarivo,14.1,0
2021-08-19,19,8,2021,Antananarivo,16.7,0
